#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_34:339464-341359 -            632 8023at4891           -            433  5.4e-147  487.3  40.3   1   3  1.6e-106  6.3e-104  345.4  30.6     2   301     5   351     4   369 0.81 -
contig_34:339464-341359 -            632 8023at4891           -            433  5.4e-147  487.3  40.3   2   3   2.7e-07    0.0001   18.5   0.2   282   312   370   402   354   416 0.79 -
contig_34:339464-341359 -            632 8023at4891           -            433  5.4e-147  487.3  40.3   3   3   3.9e-40   1.5e-37  126.7   0.2   305   433   483   631   467   631 0.81 -
contig_38:586931-590662 -           1244 8023at4891           -            433   2.5e-11   40.3   0.4   1   2   3.1e-07   0.00012   18.3   0.1   316   433     4   126     1   126 0.72 -
contig_38:586931-590662 -           1244 8023at4891           -            433   2.5e-11   40.3   0.4   2   2   1.7e-07   6.7e-05   19.1   0.0   384   432   356   408   343   421 0.75 -
contig_38:193831-195480 -            550 8023at4891           -            433   1.4e-09   34.6   0.0   1   1   7.4e-12   2.8e-09   33.5   0.0   317   415    74   189    52   211 0.76 -
contig_16:273735-275180 -            482 8023at4891           -            433     2e-09   34.0   0.1   1   2       0.3   1.1e+02   -1.4   3.7   103   160   137   194   125   201 0.76 -
contig_16:273735-275180 -            482 8023at4891           -            433     2e-09   34.0   0.1   2   2   5.2e-12     2e-09   34.0   0.1   372   433   411   476   367   476 0.82 -
contig_7:279370-281145  -            592 8023at4891           -            433   6.7e-08   29.0   0.0   1   1   2.7e-10     1e-07   28.4   0.0   377   433   525   587   511   587 0.75 -
contig_16:742607-743152 -            182 8023at4891           -            433   8.2e-06   22.1   0.0   1   1   3.3e-08   1.2e-05   21.5   0.0   382   432    57   110    40   111 0.79 -
contig_12:178349-179368 -            340 8023at4891           -            433   2.9e-05   20.3   0.1   1   1     1e-07   3.8e-05   19.9   0.1   291   367   256   338   190   340 0.62 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/8023at4891.hmm
# Target file:     /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/8023at4891.out --cpu 1 /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/8023at4891.hmm /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas 
# Current dir:     /home/inf-52-2022/De_novo_assembly/06_Busco
# Date:            Fri Feb 24 09:20:56 2023
# [ok]
