#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_21:439418-440050 -            211 27703at4891          -            140   2.9e-77  254.5   1.8   1   2   9.9e-31   5.3e-28   94.9   0.1     2    62    39    99    38   107 0.92 -
contig_21:439418-440050 -            211 27703at4891          -            140   2.9e-77  254.5   1.8   2   2   1.4e-50   7.3e-48  159.2   0.1    55   136   111   192   108   195 0.98 -
contig_21:575370-576167 -            266 27703at4891          -            140   1.5e-28   96.7   0.1   1   1   3.3e-30   1.7e-27   93.2   0.1     2   137   100   250    99   253 0.82 -
contig_21:518068-518634 -            189 27703at4891          -            140   3.8e-26   88.9   0.1   1   1   3.6e-28   1.9e-25   86.6   0.1     2   128     2   146     1   155 0.77 -
contig_7:303662-304285  -            208 27703at4891          -            140   2.9e-20   69.8   0.1   1   2   1.1e-11   5.7e-09   33.2   0.0     3    55     1    53     1    72 0.92 -
contig_7:303662-304285  -            208 27703at4891          -            140   2.9e-20   69.8   0.1   2   2   3.7e-12     2e-09   34.7   0.0    61   122   133   189   111   205 0.81 -
contig_16:935383-936051 -            223 27703at4891          -            140   1.5e-14   51.3   1.5   1   2   2.5e-10   1.4e-07   28.7   0.1     3    56     2    57     1    67 0.84 -
contig_16:935383-936051 -            223 27703at4891          -            140   1.5e-14   51.3   1.5   2   2   1.2e-08   6.5e-06   23.3   0.3    27   120    52   148    46   166 0.75 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/27703at4891.hmm
# Target file:     /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/27703at4891.out --cpu 1 /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/27703at4891.hmm /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas 
# Current dir:     /home/inf-52-2022/De_novo_assembly/06_Busco
# Date:            Fri Feb 24 09:20:56 2023
# [ok]
