#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_34:334487-335776 -            430 16113at4891          -            333    1e-144  478.7   2.1   1   2  1.2e-133  3.6e-131  434.2   0.6     4   274    15   304     1   376 0.89 -
contig_34:334487-335776 -            430 16113at4891          -            333    1e-144  478.7   2.1   2   2   1.7e-13   5.2e-11   39.2   0.0   293   333   383   430   375   430 0.87 -
contig_39:46377-49412   -           1012 16113at4891          -            333   1.2e-21   74.1   0.0   1   2     2e-09   5.9e-07   25.9   0.1    25   158     6   142     2   153 0.79 -
contig_39:46377-49412   -           1012 16113at4891          -            333   1.2e-21   74.1   0.0   2   2     2e-15   5.9e-13   45.6   0.0    17   169   396   565   380   572 0.73 -
contig_16:268519-270387 -            623 16113at4891          -            333     4e-17   59.3   0.0   1   1   2.2e-19   6.4e-17   58.6   0.0    36   189    12   173     5   182 0.80 -
contig_39:47589-48998   -            470 16113at4891          -            333   1.3e-12   44.5   0.0   1   1   7.6e-15   2.2e-12   43.7   0.0    36   169     9   161     1   168 0.73 -
contig_39:394736-396073 -            446 16113at4891          -            333   1.7e-12   44.1   0.1   1   1   9.5e-15   2.8e-12   43.4   0.1    15   170    48   221    34   228 0.73 -
contig_5:690307-691188  -            294 16113at4891          -            333   1.2e-11   41.3   0.0   1   1   5.5e-14   1.6e-11   40.9   0.0    46   109     3    69     1   119 0.79 -
contig_5:899143-900162  -            340 16113at4891          -            333   2.9e-11   40.0   0.0   1   1   1.5e-13   4.5e-11   39.4   0.0    18   117     2   101     1   123 0.90 -
contig_34:447100-448974 -            625 16113at4891          -            333   6.5e-11   38.9   0.0   1   2   2.2e-12   6.6e-10   35.6   0.0    43   109   320   388   315   411 0.85 -
contig_34:447100-448974 -            625 16113at4891          -            333   6.5e-11   38.9   0.0   2   2       0.1        31    0.5   0.0   128   221   428   528   406   540 0.67 -
contig_34:101808-103094 -            429 16113at4891          -            333   9.5e-08   28.5   0.0   1   1   6.9e-10     2e-07   27.4   0.0    37   181    66   227    54   236 0.75 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/16113at4891.hmm
# Target file:     /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/16113at4891.out --cpu 1 /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/16113at4891.hmm /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas 
# Current dir:     /home/inf-52-2022/De_novo_assembly/06_Busco
# Date:            Fri Feb 24 09:20:55 2023
# [ok]
